step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	lj-tab_cap	tab-dynamic_0	cr_3	count_0	st_A_1	st_C_0	st_D_2	st_E_0	st_E_1	st_Z_0	st_W_0	st_W_1	st_DUMMY_7_0	st_DUMMY_7_1	st_DUMMY_7_2	st_DUMMY_8_0	st_DUMMY_8_1	st_DUMMY_8_2	fd_0	fd_1
0	0	2.66784	16007	0	5087.16	4467.66	0	12000.8	13800	0	0	0	2000	0	1000	0	0	0	0	0	0	0	0	2000	0	0	0	2000
250	0.25	4.38375	26302.5	0	4819.77	4370.37	0	11749.1	13607	0	0	0	2000	0	1000	0	0	0	0	0	0	0	0	2000	0	0	0	2000
500	0.5	4.33564	26013.8	0	4998.4	4400.36	0	11733.9	13751.3	0	0	0	2000	0	1000	0	0	0	0	0	0	0	0	2000	0	0	0	2000
750	0.75	4.35261	26115.6	0	5224.65	4497.22	0	11606.5	13563.2	0	0	0	2000	0	1000	0	0	0	0	0	0	0	0	2000	0	0	0	2000
1000	1	4.09331	24559.9	217199	35293.3	4997.32	1448.25	16665.4	7607.25	13512.7	0.2835	567	1433	567	433	0	567	483	0	0	0	0	0	1517	0	0	0	1517
1250	1.25	6.2108	37264.8	2349.85	9444.02	9829.53	1025.76	17308.9	8221.81	224475	0.2835	567	1433	567	433	0	567	514	0	0	0	0	0	1486	0	0	0	1486
1500	1.5	4.83604	29016.2	1434.94	6779.01	4735.05	1001.13	16583.3	8079.8	410325	0.2835	567	1433	567	433	0	567	523	0	0	0	0	0	1477	0	0	0	1477
1750	1.75	4.66047	27962.8	1327.91	6642.63	4593.93	855.587	16585	7967.82	15610.6	0.2835	567	1433	567	433	0	567	532	0	0	0	0	0	1468	0	0	0	1468
2000	2	4.36361	26181.7	156484	42970.8	5171.13	4327.81	19176.6	5223.05	13811.7	0.4835	967	1033	967	272	239	489	880	0	0	0	0	0	1120	0	0	0	1120
2250	2.25	5.77823	38855.7	4381.38	10598	8156.03	3601.65	22276.3	5390.9	740685	0.4835	967	1033	967	272	239	489	422	483	0	0	0	0	1095	0	0	0	1095
2500	2.5	4.69266	31774	2315.79	8470.56	4914.84	3198.51	21141.5	5216.68	44941.5	0.4835	967	1033	967	272	239	489	396	514	0	0	0	0	1090	0	0	0	1090
2750	2.75	4.56304	30957.9	2522.17	7506.67	5018.65	3066.38	21213.9	5417.05	3461.36	0.4835	967	1033	967	272	239	489	391	523	0	0	0	0	1086	0	0	0	1086
3000	3	4.6885	29650.1	90577.6	515858	5058.02	3179.15	19533.3	5980.66	94927.1	0.438	876	1124	876	307	215	478	574	216	0	316	0	0	894	0	0	316	894
3250	3.25	8.06119	55186.9	6530.94	15813.2	12351.7	3169.72	30790.9	7172.38	168625	0.438	876	1124	876	307	215	478	243	564	0	316	0	0	877	0	0	316	877
3500	3.5	4.91418	33826.8	2366.68	8973.06	5035.71	2842.17	22060.6	6315.68	17354.2	0.438	876	1124	876	307	215	478	224	589	0	316	0	0	871	0	0	316	871
3750	3.75	4.65016	32044.3	2095.27	7951.65	4611.84	2528.96	21525.9	6204.45	2385.83	0.438	876	1124	876	307	215	478	223	594	0	316	0	0	867	0	0	316	867
4000	4	4.69183	30346.7	102595	519204	4977.69	3042.02	20761.3	5960.89	6715.47	0.431	862	1138	862	305	218	477	461	312	0	504	0	0	723	0	0	504	723
4250	4.25	9.16243	61928.9	6281.74	15302.7	12544.4	2814.71	24960.3	7168.34	454310	0.431	862	1138	862	305	218	477	286	506	0	498	0	0	710	0	0	498	710
4500	4.5	5.021	34049.9	2352.07	9280.8	5089.15	2659.94	22438.1	6432.3	14450.2	0.431	862	1138	862	305	218	477	285	521	0	493	0	0	701	0	0	493	701
4750	4.75	4.65355	31599.9	2076.55	8022.18	4631.97	2584.67	21542.3	6283.31	3329.02	0.431	862	1138	862	305	218	477	287	527	0	489	0	0	697	0	0	489	697
5000	5	4.77096	30829.9	106008	454189	5241.52	3823.82	20447.1	5747.94	12137.6	0.4565	913	1087	913	293	269	438	516	308	0	561	0	0	615	0	0	561	615
5250	5.25	7.86618	53710.2	6498.06	13698.6	10836.4	3403.83	23975.5	6817.27	215696	0.4565	913	1087	913	293	269	438	287	552	0	552	0	0	609	0	0	552	609
5500	5.5	4.95317	33946.5	2285.46	8890.14	5534.28	3147.71	21509.4	6095.17	23592.9	0.4565	913	1087	913	293	269	438	275	569	0	551	0	0	605	0	0	551	605
5750	5.75	4.63709	31877.7	2145.83	7965.94	4793.51	3042.56	21230	5796.23	1918.5	0.4565	913	1087	913	293	269	438	263	583	0	551	0	0	603	0	0	551	603
6000	6	4.61897	29937.8	104177	680679	5051.46	3231.3	20516.9	5511.03	15274.7	0.4535	907	1093	907	265	253	482	479	321	0	671	0	0	529	0	0	671	529
6250	6.25	9.4359	64470.8	6403.83	16320	13640	3158.71	25774	6918.33	311240	0.4535	907	1093	907	265	253	482	263	555	0	663	0	0	519	0	0	663	519
6500	6.5	5.16057	35368	2474.81	9819.75	5046.55	2806.25	22410.9	6050.79	14502.1	0.4535	907	1093	907	265	253	482	257	569	0	657	0	0	517	0	0	657	517
6750	6.75	4.60581	31600.5	2305.12	8429.7	4772.96	2608.09	21487.4	6011.96	17929.3	0.4535	907	1093	907	265	253	482	258	574	0	654	0	0	514	0	0	654	514
7000	7	4.82696	31271.5	99438.1	445212	5021.79	3527.56	21054.4	5621.3	6336.82	0.451	902	1098	902	267	262	471	466	319	0	757	0	0	458	0	0	757	458
7250	7.25	8.17325	55708.9	6653.81	14814	9729.75	3171.44	23707.5	6512.95	70141.1	0.451	902	1098	902	267	262	471	258	544	0	747	0	0	451	0	0	747	451
7500	7.5	4.9005	33526.8	2362.98	9194.72	5124.97	2981.98	22484.2	6021.68	9841.97	0.451	902	1098	902	267	262	471	248	561	0	742	0	0	449	0	0	742	449
7750	7.75	4.68065	32078.8	2311.44	7756.5	4996.25	2655.9	21408.1	5925.28	1919.25	0.451	902	1098	902	267	262	471	244	569	0	738	0	0	449	0	0	738	449
8000	8	4.67645	30457.7	109002	599575	5089.26	3713.55	20996.4	5308.76	9639.93	0.476	952	1048	952	247	301	452	478	342	0	781	0	0	399	0	0	781	399
8250	8.25	9.54601	65180.2	11003.1	15806.9	13616.4	3515.22	30501.7	6238.6	233902	0.476	952	1048	952	247	301	452	297	552	0	759	0	0	392	0	0	759	392
8500	8.5	5.00283	34294.4	2654.52	9010.22	5517.58	3143.44	22118.6	5624.77	22597.8	0.476	952	1048	952	247	301	452	287	570	0	754	0	0	389	0	0	754	389
8750	8.75	4.61962	31709.1	2334.29	8097.43	4923.43	3095.2	21538.5	5498.43	2921.38	0.476	952	1048	952	247	301	452	291	576	0	745	0	0	388	0	0	745	388
